id,created_at,text,no_of_retweets,no_of_favorite
861951158008639488,2017-05-09 14:29:05,"Had a great course on ""Crowdsourcing and Crowd Work"" by @jeffbigham, @wslasecki and @chinmay at #chi2017. https://t.co/jrXDafcQdK",2,6
861560837957398528,2017-05-08 12:38:05,A great gathering in #hcixb17@CHI 2017! https://t.co/RBpbvy1w1i,0,3
859844329413775361,2017-05-03 18:57:17,This is what we are going to present at CHI 2017 in the next week at Denver: https://t.co/92DoqrUeqW,0,0
852014666184138753,2017-04-12 04:25:00,@jilleduffy This statement is valid for all the countries!!!,0,0
847513773325680640,2017-03-30 18:20:04,"Going to present multiple papers in two workshops (""Designing for Curiosity"" and ""HCI Across Borders"") and in the main track of CHI 2017.",0,1
844908639705976832,2017-03-23 13:48:12,@jilleduffy The countdown begins!!!,0,0
830778215530536960,2017-02-12 13:58:56,Disease dietomics rocks again! See more at: https://t.co/slva0pTJE7,0,0
830777717461184515,2017-02-12 13:56:57,"Finally, got a paper accepted in the LBW track @sig_chi for the first time.",0,3
816914942091612160,2017-01-05 07:51:14,Working hard to submit some interesting studies to the Extended Abstract tracks of CHI 2017.,0,1
816914083555356672,2017-01-05 07:47:49,"@hcomp_conf Welcome to AAAI HCOMP 2017 (https://t.co/VI5DiiBweT) in Québec City, Canada. Get the good papers ready for us.",0,0
810125759360696321,2016-12-17 14:13:27,@hciprof Indeed colorful!!!,0,0
808963156676481024,2016-12-14 09:13:41,Got a paper accepted at @ACM_CSCW for the first time.,0,0
808327158519058432,2016-12-12 15:06:27,@jilleduffy Take care!,0,0
805071816431538177,2016-12-03 15:30:53,"Remembering the talk at School of Information, UT Austin last month (https://t.co/Ley6GBt9ZS) https://t.co/frshiPPwnR",0,0
804188763102461953,2016-12-01 05:01:56,Two of our studies will be presented in AAAI 2017 Spring Symposium on AI for Social Good (https://t.co/89CmrE7zJw ) to be held at Stanford.,0,0
804123063944101888,2016-12-01 00:40:52,"A collaborative work between IIEST Shibpur, MIT Media Lab, UT Austin and UC Berkeley at CrowdCamp in #hcomp2016 (https://t.co/NkRVloljdo)",0,0
800965298153103364,2016-11-22 07:33:02,@shawn_freeman Correct! Luck favors prepared minds.,0,1
794495383401590784,2016-11-04 11:03:55,Kudos to all the crowdcampers at #hcomp2016! We had a great time working on great projects. https://t.co/8rq3ROAHXe,0,2
793861301227270144,2016-11-02 17:04:18,"Take away from the remembrance of David B. Martin at #hcomp2016 : Requesters should be trained ""well"" for the success of Crowdsourcing.",1,3
793213149159620608,2016-10-31 22:08:46,"Long live crowdsourcing!!! A great panel discussion on ""When AI runs the show, what's left for crowd?"" at #hcomp2016",0,5
792184384023621632,2016-10-29 02:00:49,Leaving Kolkata soon with a hope to attend AAAI @hcomp_conf for the first time although having papers accepted in all the previous years.,0,3
783985303652491264,2016-10-06 11:00:36,"Welcome to the Crowdy Lab at IIEST, Shibpur!!! See more at: https://t.co/Tuv3CFvmRS",0,0
775987530126635008,2016-09-14 09:20:18,@TWTGroupInc Congratulations!!!,0,1
775362517715394562,2016-09-12 15:56:44,@andrikos @ACMMobileHCI What about the acceptance rate of demo papers?,0,0
775351841387229184,2016-09-12 15:14:18,@jilleduffy Dreamliners are nothing but catchy!!!,0,1
774604161153245185,2016-09-10 13:43:18,Introducing mSTROKE!!! A great crowd-powered app for self-testing of stroke (See: https://t.co/tnCWQYUKNP),0,1
770814426710585344,2016-08-31 02:44:15,A WiP and a GroupSight workshop paper got accepted in AAAI HCOMP 2016. Great quality of reviews received. Thanks to the organizers!,0,0
757885161123885056,2016-07-26 10:27:57,Want to be an HCI researcher? See this: https://t.co/swhWB953sI,0,0
751109218762002432,2016-07-07 17:42:47,@jilleduffy Cool!,0,0
750863169145286656,2016-07-07 01:25:04,"@jilleduffy ""Sari"" is a type of dress (managing it is hard and should be well practiced) in India.",0,0
747038542044397568,2016-06-26 12:07:22,Legal steps initiated against plagiarism in India: https://t.co/E6TWlzXdIj,0,0
744984648569262080,2016-06-20 20:05:56,"Demo accepted for presentation at the 18th MobileHCI in Italy. Wait for the surprise until September 08, 2016!!!",0,1
744705985550311424,2016-06-20 01:38:37,@imjuhokim Best wishes!!!,0,0
742703723412127746,2016-06-14 13:02:21,@HCjnl Why are the new issues not getting published this year?,0,0
740605485976428544,2016-06-08 18:04:42,"Eagerly waiting for upcoming notifications on June 14 (MobileHCI), June 20 (MobileHCI), June 22 (KDD IDEA), July 01 (SAGT), July 11 (HCOMP).",0,0
740039615315251200,2016-06-07 04:36:08,'Recency bias' in big data analytics: https://t.co/p8S3D1YbzY,3,2
739773941913260033,2016-06-06 11:00:26,@jilleduffy Thanks. I didn't notice it earlier.,0,1
739681219424583680,2016-06-06 04:51:59,@jilleduffy Expecting a technical article from you on the use of Slack to get (more???) organized.,0,0
739634422035582976,2016-06-06 01:46:02,Wearing a backpack of Slack from today https://t.co/o820eEHVhc,0,0
739631905377652736,2016-06-06 01:36:02,@shawn_freeman I have 32% fake followers!!!,0,1
738252492807475200,2016-06-02 06:14:45,How to learn from dependent judgements of the crowd? See here: https://t.co/4stc4oo8dJ,0,0
738252438042513408,2016-06-02 06:14:31,How crowdsourcing can help us in reviewing research papers? See here: https://t.co/E5Ffq556me,0,0
738251543984672768,2016-06-02 06:10:58,@hcomp_conf How to learn from dependent judgements of the crowd? See here: https://t.co/4stc4oo8dJ,0,0
738251073618595840,2016-06-02 06:09:06,@hcomp_conf How crowdsourcing can help us in reviewing research papers? See here: https://t.co/E5Ffq556me,0,0
734923184575647744,2016-05-24 01:45:16,"Need funding for an AI activity? See: https://t.co/7YIO434nHp (Deadline is June 15, 2016)",0,0
731845695569698816,2016-05-15 13:56:25,Next deadline is May 31. Trying heart and soul for communicating a few of our studies to AAAI HCOMP 2016 (https://t.co/LTMGXcZAtL ).,0,0
731451970288910336,2016-05-14 11:51:54,"Yes, surely. https://t.co/cYzIaPq2Vv",0,0
731146617630294020,2016-05-13 15:38:32,@malaybhatta Just found that the deadline for MobileHCI 2016 has been extended by 2 more days.,0,0
731145813020155905,2016-05-13 15:35:20,"Just finished submissions to MobileHCI &amp; SAGT 2016, both having deadlines today (Friday, the 13th), after a hectic week. Fingers crossed!!!",0,0
724822015396466689,2016-04-26 04:46:49,"Bayesian Program Learning - The Next Big Thing in ML?
See: https://t.co/RnxzKjVdIT",0,0
724602133891276801,2016-04-25 14:13:05,A new journal from Nature on Systems Biology: https://t.co/2bRLyCgHsv,0,1
723102503429017602,2016-04-21 10:54:06,Great to see that India stands at the 13th position in the nature INDEX 2016: https://t.co/FTrKWGOshQ,0,1
723009308695220225,2016-04-21 04:43:46,Interesting observation!!! https://t.co/zGUKUchGL0,0,0
723007901053263872,2016-04-21 04:38:11,"Remembering the Marvin Minsky Remembrance at the Jordan Hall of Stanford University on March 22, 2016. https://t.co/ybUAXk7ea0",0,0
718687163383058432,2016-04-09 06:29:06,"Happy to receive the Visvesvaraya Young Faculty Research Fellowship worth INR 3.7 million for 2015-16 from DeitY, Government of India.",0,0
717959309179678720,2016-04-07 06:16:53,Working hard to submit a great demo on crowd-powered medical diagnosis at mobileHCI (https://t.co/kzQ4MKXPd7). Hardly a month is left!!!,0,0
717957544547852288,2016-04-07 06:09:52,"Believe it or not! My first research paper, written at the age of 17, was accepted for publication after 9 years: https://t.co/nl4MWPNsJO",0,0
716592424961724416,2016-04-03 11:45:22,"Deep Learning in Excel?

https://t.co/Y2D6c10v2r",0,0
715405501660463104,2016-03-31 05:08:57,Cool Bot Framework from Microsoft: https://t.co/WZ7zQfdHmn,0,0
713407651414052864,2016-03-25 16:50:13,Countdown of almost 24hrs of layover begins at the Hong Kong SkyCity Marriott Hotel for the flight towards home!!! https://t.co/1rbnm6S4qx,0,0
713111113269784576,2016-03-24 21:11:53,Oops! An unplanned night stay at Hong Kong. A 2hr delay to depart from San Francisco seems to shift my arrival to Kolkata to the next day.,0,0
712888112465055744,2016-03-24 06:25:45,The Picturesque Palo Alto!!! https://t.co/XgNgm81c0q,0,0
712725706719895552,2016-03-23 19:40:24,A great gathering at AAAI Spring Symposium (Teamwork 2016)! https://t.co/fU5fGlFOee,0,0
712549010616266752,2016-03-23 07:58:17,Presenting research on competitive crowd intelligence at Stanford. https://t.co/2KbRrjkvNz,0,0
712147542385930240,2016-03-22 05:22:59,Standing in front of the Stanford Memorial Church. https://t.co/Tyw2NIkVz5,0,0
712147335602577409,2016-03-22 05:22:10,Had a great day in Stanford University (mostly at History 107) for the AAAI Spring Symposium 2016! https://t.co/lmoAFZtAfL,0,0
711765172113649664,2016-03-21 04:03:35,Just completed a short trip to Hong Kong city taking the best use of the layover time while flying to San Francisco. https://t.co/aOkBSEAWzk,0,1
687144468693254145,2016-01-13 05:29:42,A great gathering is expected at the AAAI Spring Symposium 2016 on Teamwork: https://t.co/cgsfHzaOeU,0,0
685332696311140352,2016-01-08 05:30:22,@jilleduffy Great! I will buy a copy and read.,0,1
673125889840836608,2015-12-05 13:04:52,"@jilleduffy Hope you are fine. I am just returning from Bangalore after 3 days visit, and felt how bad is Chennai even from there.",0,0
666851705305194496,2015-11-18 05:33:30,Happy to receive the BIRD Award (https://t.co/O7WkeL3NX4) for the year 2015.,0,0
665222111313530880,2015-11-13 17:38:05,Our study on Dutch auctions in Crowdsourcing markets will soon appear in @HCjnl.,0,0
664759619454038016,2015-11-12 11:00:18,@jilleduffy It should be in eBay India.,0,0
664759254352465920,2015-11-12 10:58:51,@jilleduffy https://t.co/AsSwuhI6rs is the most popular one in India.,0,1
664422893426622464,2015-11-11 12:42:16,Remembering my last visit to Stanford. https://t.co/JmI0jupa0O,0,0
664420984963772417,2015-11-11 12:34:41,Study accepted for presentation in one of the AAAI 2016 Spring Symposia (https://t.co/r90dcKBgKU) to be held at Stanford.,0,0
664418404384702464,2015-11-11 12:24:26,Feeling sorry for missing to attend #hcomp2015 to present the 3 single-author papers accepted in the WiP track.,0,0
664402224848617472,2015-11-11 11:20:09,Just setting up my Twitter. #myfirstTweet,0,0
